type	id1	id2	distance
inter	YLR403W	YLR048W	118.474
others	YDR423C	YKL002W	129.335
others	YMR021C	YDL234C	66.365
inter	YLR403W	YDR050C	156.673
inter	YDR253C	YLR438W	109.636
inter	YIL101C	YGR055W	46.579
inter	YLR071C	YLL050C	35.488
others	YDR397C	YHR161C	119.442
others	YDR310C	YPL130W	57.133
inter	YPL254W	YHR141C	37.844
others	YPR104C	YPL250C	50.002
inter	YLR403W	YDL031W	153.807
inter	YOR110W	YFL034W	86.332
inter	YOL148C	YPL238C	118.633
inter	YIL101C	YCR079W	39.797
inter	YLR403W	YDR141C	129.070
inter	YDL170W	YMR067C	48.799
inter	YBR049C	YGL106W	83.306
inter	YGR252W	YOR322C	62.183
inter	YLR403W	YDR139C	130.582
others	YKL032C	YPL227C	106.962
others	YBR112C	YER092W	68.362
inter	YDL005C	YBR082C	72.250
others	YMR164C	YIL011W	109.069
inter	YDR259C	YER093C	76.714
inter	YLR176C	YBR217W	65.736
inter	YDR259C	YLR005W	125.651
inter	YNL216W	YDR036C	74.362
inter	YLR403W	YGR094W	88.331
inter	YDL005C	YFR050C	30.134
others	YNL103W	YML107C	84.520
inter	YER159C	YAL061W	90.266
others	YPL248C	YML100W	41.715
inter	YPR086W	YNL160W	82.820
inter	YDL005C	YDL160C-A	97.093
inter	YDR259C	YOL125W	77.493
inter	YBR049C	YOR275C	115.893
inter	YIL101C	YBR010W	50.238
inter	YIL101C	YJR046W	59.318
others	YPR052C	YGR205W	77.016
inter	YOL148C	YJR015W	57.353
inter	YBR049C	YKL203C	92.724
others	YNL330C	YMR135C	93.027
inter	YNL216W	YLR060W	75.787
inter	YDL005C	YER092W	79.986
others	YDR423C	YNL308C	50.177
inter	YNL216W	YOL158C	31.132
inter	YIL131C	YOR179C	73.523
others	YMR037C	YBR068C	68.544
inter	YDL005C	YER076C	92.183
inter	YIL101C	YJR011C	64.497
inter	YJL127C	YLR445W	138.594
inter	YPL075W	YPR004C	62.021
inter	YNL216W	YPL174C	75.328
others	YLR223C	YOR234C	137.768
inter	YGR252W	YFR044C	110.263
inter	YDR259C	YIR002C	134.908
others	YER040W	YHL020C	67.333
inter	YBR049C	YMR292W	63.461
inter	YNL216W	YPR161C	71.818
inter	YLR403W	YLR222C	29.565
others	YOL108C	YHR025W	88.486
inter	YOR174W	YGR274C	84.495
others	YER040W	YOR032C	46.884
inter	YBR049C	YFL016C	72.300
inter	YDL005C	YIL113W	68.737
inter	YLR071C	YOL119C	91.272
inter	YGR252W	YCL026C-B	100.712
others	YKR099W	YJR148W	60.410
inter	YIL101C	YIL148W	28.543
inter	YIL131C	YER187W	43.592
inter	YIL101C	YPL244C	70.173
inter	YLR071C	YDR197W	120.317
inter	YGR252W	YKL209C	78.946
inter	YPL075W	YKL004W	72.914
others	YEL009C	YEL009C	0.000
inter	YOL148C	YDL083C	81.084
inter	YPL075W	YMR107W	26.980
inter	YPL254W	YOR385W	82.816
others	YNL236W	YHR219W	137.583
others	YBR112C	YMR120C	60.597
others	YNL236W	YKL191W	44.379
others	YNL103W	YOL052C-A	55.737
others	YCL058W-A	YGR082W	56.163
inter	YLR176C	YBR069C	93.490
others	YKL185W	YNR045W	93.724
inter	YIL131C	YAR019C	85.378
others	YHR084W	YLR120C	70.729
inter	YOR110W	YBR216C	108.078
inter	YIL101C	YER074W-A	38.848
others	YDR443C	YML100W	70.587
inter	YOR174W	YGL112C	81.435
inter	YJL127C	YGL064C	50.369
others	YHR058C	YOR007C	83.288
inter	YIL101C	YOR244W	73.339
inter	YIR018W	YJR120W	66.386
inter	YNL216W	YDR343C	78.513
inter	YJL127C	YHR203C	87.269
others	YBR083W	YAR009C	100.530
inter	YBR049C	YDR050C	65.705
inter	YDR392W	YJR028W	120.339
others	YHL020C	YHR018C	10.856
inter	YPR086W	YDL110C	39.657
others	YLR098C	YLR157W-E	73.357
inter	YDR259C	YJL034W	109.981
inter	YIL101C	YJR059W	55.722
others	YNL103W	YMR037C	99.046
inter	YIL131C	YGR013W	51.578
others	YEL009C	YLR279W	167.781
others	YDR448W	YGL062W	96.240
inter	YPL075W	YKL096W-A	75.332
inter	YDR207C	YER064C	108.807
inter	YGR252W	YBR070C	51.969
others	YLR451W	YER157W	92.631
inter	YDR259C	YOR141C	65.732
inter	YDR392W	YMR027W	101.686
others	YBR083W	YHR152W	20.240
others	YOR028C	YLR266C	168.561
others	YDR310C	YNL318C	75.566
inter	YDR207C	YER056C	105.968
inter	YGR252W	YDL080C	92.557
inter	YIL101C	YKR058W	78.026
others	YPR133C	YDR155C	36.506
others	YNL236W	YOR321W	45.978
inter	YML007W	YIR017C	28.074
inter	YGL073W	YIL117C	23.345
inter	YOR110W	YFR049W	67.525
others	YNL257C	YCR021C	109.642
inter	YCR084C	YPL231W	70.476
others	YBR081C	YPR154W	81.447
others	YOR344C	YIL082W	91.170
inter	YNL216W	YCL040W	97.617
others	YBR240C	YOL078W	95.399
inter	YGL073W	YGR155W	44.505
inter	YPR086W	YOL155C	104.052
inter	YIR018W	YOR178C	113.076
inter	YER159C	YMR090W	86.401
inter	YLR403W	YOR071C	161.093
others	YER111C	YNL320W	71.138
others	YDR169C	YNL242W	89.848
inter	YDL005C	YNR037C	58.831
inter	YLR403W	YCR072C	125.423
inter	YOR110W	YJL143W	67.796
inter	YML007W	YLR097C	70.346
others	YDR423C	YML052W	102.432
inter	YLR403W	YDL052C	156.783
others	YNL236W	YKL080W	47.045
inter	YCR084C	YGR161C	60.395
inter	YDL005C	YOR394C-A	132.743
others	YKR099W	YBL005W-B	66.778
inter	YIL101C	YJR005C-A	61.250
inter	YOL148C	YJR028W	46.172
inter	YGL073W	YGR250C	47.207
inter	YDR259C	YFR023W	124.853
inter	YDL170W	YGR075C	120.784
inter	YML007W	YNL237W	98.215
others	YGL071W	YGL055W	12.574
inter	YDL170W	YBR221W-A	98.387
inter	YDL005C	YIL145C	76.446
inter	YGR252W	YAL025C	112.001
inter	YDR463W	YLR162W	118.291
inter	YIL131C	YLR247C	100.377
inter	YCR084C	YDR385W	111.000
inter	YNL216W	YMR186W	94.173
inter	YLR403W	YMR077C	150.466
others	YOR028C	YDL175C	63.458
inter	YCR084C	YJR147W	79.896
inter	YLR403W	YDR064W	159.523
others	YER040W	YKL170W	67.598
inter	YOL148C	YDL136W	71.727
inter	YDR259C	YPL098C	67.759
inter	YML007W	YBR188C	103.581
others	YOR032C	YOR160W	70.284
others	YKR099W	YCL030C	68.175
inter	YDL170W	YIL052C	118.154
inter	YDR392W	YDR173C	53.887
inter	YIR018W	YPL192C	101.754
inter	YIR018W	YHR136C	86.667
inter	YPR086W	YMR084W	10.439
inter	YOR174W	YGL010W	110.603
inter	YPL075W	YDL126C	73.175
others	YNL103W	YOR085W	50.641
others	YBR240C	YJR004C	118.668
inter	YLR403W	YLR312W-A	18.755
inter	YNL216W	YER156C	39.920
inter	YOR110W	YEL073C	104.018
others	YOR028C	YKL177W	46.791
others	YMR182C	YLR178C	119.851
others	YJR127C	YOR010C	55.530
others	YPR104C	YDL075W	30.123
others	YOR344C	YDR365W-B	76.738
others	YDR146C	YIL116W	78.736
inter	YOR110W	YDL063C	59.019
inter	YNL216W	YML128C	51.896
others	YBR083W	YLR042C	67.547
inter	YNL216W	YPR044C	76.707
inter	YPR086W	YMR175W	38.223
inter	YIL101C	YOR130C	78.751
inter	YPR086W	YNL008C	87.660
inter	YIL131C	YBR074W	44.134
others	YBR112C	YJL077C	109.350
inter	YDR463W	YNL193W	58.065
inter	YDR259C	YPL085W	72.958
others	YNL236W	YDR210W-A	75.755
inter	YNL216W	YHL015W	97.297
inter	YPR086W	YKL162C	61.512
inter	YDL005C	YGL221C	110.059
inter	YPR086W	YDL238C	56.731
inter	YLR403W	YPR112C	146.841
inter	YPL075W	YKL192C	75.253
inter	YLR403W	YEL040W	144.875
inter	YPL075W	YJR117W	82.785
inter	YLR176C	YML028W	151.579
inter	YOR110W	YOR108W	2.049
inter	YJL127C	YCR098C	107.740
inter	YIL036W	YDR098C-A	107.660
inter	YOR174W	YHR007C-A	111.646
inter	YDL005C	YNL097C	100.208
inter	YIL036W	YPL145C	84.840
others	YOL004W	YEL065W	58.450
others	YDR423C	YGL011C	123.377
inter	YOR174W	YGR267C	88.155
inter	YCR084C	YGL245W	79.339
others	YGR104C	YGR279C	38.504
inter	YDR463W	YLR095C	90.306
inter	YOR110W	YLL056C	78.505
inter	YGL073W	YOR277C	85.633
inter	YDL005C	YOL039W	48.325
others	YDL020C	YFL014W	21.337
inter	YIL101C	YMR161W	72.408
inter	YDL005C	YDR034C	47.549
others	YNL236W	YLL010C	84.579
inter	YIL131C	YPR183W	84.190
others	YNL330C	YNL298W	23.492
inter	YNL216W	YLR249W	131.887
inter	YBR049C	YGL040C	68.073
inter	YOR174W	YLR017W	98.690
others	YCR081W	YNL055C	75.413
others	YMR037C	YJL158C	105.402
inter	YGR252W	YBR273C	30.915
inter	YDR392W	YBL074C	101.164
inter	YDL005C	YJL216C	91.034
inter	YLR176C	YML116W	120.436
inter	YIL101C	YHR197W	45.813
inter	YDL005C	YLR120C	86.137
others	YDR123C	YPL041C	69.339
inter	YDR253C	YLR281C	125.562
inter	YDR463W	YLR318W	112.831
inter	YJL127C	YLR339C	140.288
inter	YOR174W	YKR088C	84.514
others	YPR104C	YAL039C	84.716
inter	YPL075W	YBR143C	56.495
inter	YDR253C	YNL014W	128.492
others	YER040W	YBR274W	90.185
inter	YDR207C	YML101C	57.982
inter	YOL148C	YMR046W-A	97.380
inter	YPL254W	YLR441C	89.127
inter	YOR174W	YNL255C	26.522
inter	YDR463W	YMR255W	60.741
others	YHR058C	YOL005C	72.849
others	YDR123C	YER021W	105.858
others	YNL103W	YDR040C	102.969
inter	YGR252W	YPR054W	93.309
inter	YNL216W	YEL073C	79.765
others	YOR344C	YMR046C	118.594
inter	YDL005C	YNR015W	36.975
inter	YCR084C	YML058W-A	51.201
inter	YGL073W	YHR216W	76.533
others	YMR042W	YCL040W	75.145
inter	YDL005C	YHL029C	36.926
inter	YDR392W	YPL232W	70.189
inter	YIL101C	YJL050W	48.468
inter	YIL131C	YKL146W	81.202
others	YNL199C	YDL021W	59.853
inter	YGR252W	YCR102C	89.077
inter	YDR392W	YDR510W	13.890
inter	YIL131C	YLR285C-A	107.110
inter	YCR084C	YHR214C-B	50.413
inter	YLR176C	YDR464W	122.999
inter	YLR403W	YDL070W	154.657
others	YLR098C	YFR015C	71.024
inter	YIL131C	YCR071C	50.872
others	YBR083W	YGR161W-A	45.460
others	YER111C	YDR046C	89.975
others	YEL009C	YAR064W	40.297
inter	YLR403W	YKL178C	160.691
inter	YGR252W	YDR037W	94.083
inter	YIL101C	YOR195W	70.439
others	YJL056C	YGL258W	73.072
inter	YIL101C	YKL222C	80.781
others	YNL103W	YNL191W	35.288
others	YNL330C	YGR279C	65.780
inter	YOR110W	YKL106W	32.928
others	YBR112C	YDR517W	99.008
inter	YGL073W	YIL053W	28.407
inter	YOL148C	YHR137W	122.367
inter	YML007W	YDL215C	95.032
others	YNL236W	YDR238C	78.008
inter	YJL127C	YBL082C	81.304
others	YBR081C	YPL026C	73.913
inter	YLR403W	YNL247W	129.069
inter	YJL127C	YGL135W	44.654
others	YNL236W	YDR331W	74.705
inter	YML007W	YOR223W	129.594
others	YGL013C	YPR158C-C	93.297
inter	YLR071C	YPL223C	87.992
others	YGR104C	YER104W	46.705
inter	YML007W	YNL084C	100.606
inter	YNL216W	YOR096W	27.260
inter	YLR176C	YJL177W	134.444
inter	YDR207C	YLR156C-A	119.666
inter	YNL216W	YCR087C-A	85.383
inter	YLR403W	YBR271W	61.260
others	YLR451W	YMR315W-A	87.378
inter	YLR176C	YNL095C	114.999
others	YPR104C	YNL036W	102.643
inter	YPL075W	YKL191W	74.923
others	YNL236W	YPL049C	106.551
inter	YPL075W	YMR243C	56.892
inter	YLR403W	YLR270W	18.272
others	YGR116W	YHR138C	49.545
others	YGL035C	RDN25-1	75.829
inter	YIL131C	YDL173W	88.684
others	YBR112C	YIL045W	69.180
inter	YBR049C	YLR229C	114.403
inter	YPL075W	YLR172C	134.482
inter	YJL127C	YOR378W	62.462
inter	YLR071C	YDR380W	119.340
inter	YGR252W	YDR490C	59.434
inter	YLR176C	YHR190W	88.062
inter	YJL127C	YOL143C	35.666
inter	YLR403W	YDR351W	114.935
inter	YDL170W	YDL019C	87.658
others	YPL139C	YML107C	20.231
inter	YIR018W	YJL218W	90.455
inter	YGR252W	YJL166W	74.510
others	YER040W	YLR185W	121.655
inter	YDR392W	YKL086W	83.771
inter	YLR403W	YCR087C-A	129.153
others	YGL013C	YPR190C	96.064
inter	YIL036W	YIL078W	34.226
inter	YIL131C	YNL074C	37.619
inter	YGR252W	YKL150W	97.974
others	YHL020C	YOR034C	63.306
inter	YIR018W	YBR076W	81.748
inter	YGR252W	YDR158W	92.240
inter	YBR049C	YMR202W	62.605
inter	YDR392W	YHL007C	145.157
