id1	id2	reg	distance
YER040W	YHL020C	binding enriched	67.333
YER040W	YOR032C	binding enriched	46.884
YEL009C	YEL009C	?	0.000
YNL103W	YMR037C	?	99.046
YOR028C	YLR266C	binding enriched	168.561
YNL216W	YNL068C	binding enriched	35.655
YLR403W	YOR162C	-	141.560
YIL101C	YPL248C	binding enriched	66.634
YKL112W	YOR230W	+	65.293
YIL131C	YKL032C	binding enriched	85.182
YDL170W	YMR164C	binding enriched	71.082
YIL131C	YDR392W	binding enriched	98.032
YIL101C	YKL058W	binding enriched	57.314
YDR253C	YER088C	bound	75.442
YDL005C	YFL021W	binding enriched	6.211
YLR403W	YFL031W	+	168.124
YDR253C	YOR230W	bound	69.281
YDR259C	YGL209W	binding enriched	82.213
YHR058C	YJR140C	binding enriched	88.618
YDR253C	YFR034C	bound	104.909
YBR279W	YOR230W	binding enriched	110.373
YHL020C	YDR123C	-	85.606
YNL216W	YER045C	binding enriched	47.357
YNL216W	YBR182C	binding enriched	83.743
YDL005C	YJL127C	binding enriched	82.494
YIR018W	YDR176W	binding enriched	128.686
YER159C	YPR065W	binding enriched	102.283
YIL131C	YHR178W	binding enriched	45.612
YDL170W	YDL106C	binding enriched	25.884
YBR081C	YMR042W	binding enriched	64.014
YKL032C	YBR083W	+	81.740
YNL103W	YNL257C	?	29.482
YBR049C	YIR018W	binding enriched	73.114
YLR071C	YDR213W	binding enriched	102.229
YNL103W	YPR065W	?	104.807
YIL131C	YER088C	binding enriched	24.584
YDR423C	YER161C	-	64.573
YLR071C	YGL254W	binding enriched	57.023
YDR253C	YLR266C	bound	127.549
YLR403W	YGL071W	?	100.553
YML007W	YOR174W	binding enriched	118.245
YMR164C	YOR032C	?	91.010
YDR259C	YER109C	binding enriched	80.137
YGR104C	YML027W	binding enriched	80.408
YOR110W	YGL244W	binding enriched	89.151
YOR174W	YER088C	binding enriched	59.740
YIL131C	YHR041C	binding enriched	61.118
YDR423C	YNL103W	-	80.971
YOR110W	YBL054W	binding enriched	104.576
YNL199C	YOR344C	-	67.721
YKL032C	YGR044C	-	99.397
YJL056C	YDR253C	?	104.058
YBR081C	YBR049C	binding enriched	22.558
YNL103W	YOR162C	?	66.349
YIL036W	YFL031W	+	47.849
YOR174W	YHR206W	binding enriched	107.320
YIL101C	YJL089W	binding enriched	50.292
YDR392W	YIR018W	binding enriched	143.080
YMR016C	YKL043W	-	36.265
YIL101C	YER040W	binding enriched	24.196
YDL005C	YHL027W	binding enriched	35.899
YKL185W	YNR010W	binding enriched	93.884
YER159C	YGL166W	binding enriched	13.977
YLR403W	YGL013C	?	151.971
YPR104C	YDR207C	binding enriched	54.890
YGR252W	YGL071W	binding enriched	49.151
YNL330C	YMR070W	binding enriched	93.048
YGL071W	YOR230W	+	97.521
YER159C	YOR298C-A	binding enriched	37.478
YNL103W	YPL177C	?	84.541
YGR252W	YOR162C	binding enriched	89.538
YHR058C	YKL015W	binding enriched	70.185
YML007W	YGR252W	binding enriched	115.115
YOR110W	YOL108C	binding enriched	16.912
