id1	id2	hier1	hier2	distance
YLR403W	YLR048W	Middle	Target	118.474
YDR423C	YKL002W	Middle	Target	129.335
YMR021C	YDL234C	Bottom	Target	66.365
YLR403W	YDR050C	Middle	Target	156.673
YDR253C	YLR438W	Middle	Target	109.636
YIL101C	YGR055W	Middle	Target	46.579
YLR071C	YLL050C	Middle	Target	35.488
YDR397C	YHR161C	Middle	Target	119.442
YDR310C	YPL130W	Middle	Target	57.133
YPL254W	YHR141C	Middle	Target	37.844
YPR104C	YPL250C	Middle	Target	50.002
YLR403W	YDL031W	Middle	Target	153.807
YOR110W	YFL034W	Middle	Target	86.332
YOL148C	YPL238C	Middle	Target	118.633
YIL101C	YCR079W	Middle	Target	39.797
YLR403W	YDR141C	Middle	Target	129.070
YDL170W	YMR067C	Middle	Target	48.799
YBR049C	YGL106W	Middle	Target	83.306
YGR252W	YOR322C	Middle	Target	62.183
YLR403W	YDR139C	Middle	Target	130.582
YKL032C	YPL227C	Middle	Target	106.962
YBR112C	YER092W	Middle	Target	68.362
YDL005C	YBR082C	Middle	Target	72.250
YMR164C	YIL011W	Middle	Target	109.069
YDR259C	YER093C	Middle	Target	76.714
YLR176C	YBR217W	Middle	Target	65.736
YDR259C	YLR005W	Middle	Target	125.651
YNL216W	YDR036C	Middle	Target	74.362
YLR403W	YGR094W	Middle	Target	88.331
YDL005C	YFR050C	Middle	Target	30.134
YNL103W	YML107C	Middle	Target	84.520
YER159C	YAL061W	Middle	Target	90.266
YPL248C	YML100W	Bottom	Target	41.715
YPR086W	YNL160W	Middle	Target	82.820
YDL005C	YDL160C-A	Middle	Target	97.093
YDR259C	YOL125W	Middle	Target	77.493
YBR049C	YOR275C	Middle	Target	115.893
YIL101C	YBR010W	Middle	Target	50.238
YIL101C	YJR046W	Middle	Target	59.318
YPR052C	YGR205W	Bottom	Target	77.016
YOL148C	YJR015W	Middle	Target	57.353
YBR049C	YKL203C	Middle	Target	92.724
YNL330C	YMR135C	Middle	Target	93.027
YNL216W	YLR060W	Middle	Target	75.787
YDL005C	YER092W	Middle	Target	79.986
YDR423C	YNL308C	Middle	Target	50.177
YNL216W	YOL158C	Middle	Target	31.132
YIL131C	YOR179C	Top	Target	73.523
YMR037C	YBR068C	Middle	Target	68.544
YDL005C	YER076C	Middle	Target	92.183
YIL101C	YJR011C	Middle	Target	64.497
YJL127C	YLR445W	Middle	Target	138.594
YPL075W	YPR004C	Middle	Target	62.021
YNL216W	YPL174C	Middle	Target	75.328
YLR223C	YOR234C	Middle	Target	137.768
YGR252W	YFR044C	Middle	Target	110.263
YDR259C	YIR002C	Middle	Target	134.908
YER040W	YHL020C	Middle	Middle	67.333
YBR049C	YMR292W	Middle	Target	63.461
YNL216W	YPR161C	Middle	Target	71.818
YLR403W	YLR222C	Middle	Target	29.565
YOL108C	YHR025W	Middle	Target	88.486
YOR174W	YGR274C	Middle	Target	84.495
YER040W	YOR032C	Middle	Bottom	46.884
YBR049C	YFL016C	Middle	Target	72.300
YDL005C	YIL113W	Middle	Target	68.737
YLR071C	YOL119C	Middle	Target	91.272
YGR252W	YCL026C-B	Middle	Target	100.712
YKR099W	YJR148W	Top	Target	60.410
YIL101C	YIL148W	Middle	Target	28.543
YIL131C	YER187W	Top	Target	43.592
YIL101C	YPL244C	Middle	Target	70.173
YLR071C	YDR197W	Middle	Target	120.317
YGR252W	YKL209C	Middle	Target	78.946
YPL075W	YKL004W	Middle	Target	72.914
YEL009C	YEL009C	Middle	Middle	0.000
YOL148C	YDL083C	Middle	Target	81.084
YPL075W	YMR107W	Middle	Target	26.980
YPL254W	YOR385W	Middle	Target	82.816
YNL236W	YHR219W	Middle	Target	137.583
YBR112C	YMR120C	Middle	Target	60.597
YNL236W	YKL191W	Middle	Target	44.379
YNL103W	YOL052C-A	Middle	Target	55.737
YCL058W-A	YGR082W	Bottom	Target	56.163
YLR176C	YBR069C	Middle	Target	93.490
YKL185W	YNR045W	Middle	Target	93.724
YIL131C	YAR019C	Top	Target	85.378
YHR084W	YLR120C	Middle	Target	70.729
YOR110W	YBR216C	Middle	Target	108.078
YIL101C	YER074W-A	Middle	Target	38.848
YDR443C	YML100W	Bottom	Target	70.587
YOR174W	YGL112C	Middle	Target	81.435
YJL127C	YGL064C	Middle	Target	50.369
YHR058C	YOR007C	Top	Target	83.288
YIL101C	YOR244W	Middle	Target	73.339
YIR018W	YJR120W	Middle	Target	66.386
YNL216W	YDR343C	Middle	Target	78.513
YJL127C	YHR203C	Middle	Target	87.269
YBR083W	YAR009C	Middle	Target	100.530
YBR049C	YDR050C	Middle	Target	65.705
YDR392W	YJR028W	Middle	Target	120.339
YHL020C	YHR018C	Middle	Target	10.856
YPR086W	YDL110C	Middle	Target	39.657
YLR098C	YLR157W-E	Middle	Target	73.357
YDR259C	YJL034W	Middle	Target	109.981
YIL101C	YJR059W	Middle	Target	55.722
YNL103W	YMR037C	Middle	Middle	99.046
YIL131C	YGR013W	Top	Target	51.578
YEL009C	YLR279W	Middle	Target	167.781
YDR448W	YGL062W	Middle	Target	96.240
YPL075W	YKL096W-A	Middle	Target	75.332
YDR207C	YER064C	Middle	Target	108.807
YGR252W	YBR070C	Middle	Target	51.969
YLR451W	YER157W	Middle	Target	92.631
YDR259C	YOR141C	Middle	Target	65.732
YDR392W	YMR027W	Middle	Target	101.686
YBR083W	YHR152W	Middle	Target	20.240
YOR028C	YLR266C	Middle	Bottom	168.561
YDR310C	YNL318C	Middle	Target	75.566
YDR207C	YER056C	Middle	Target	105.968
YGR252W	YDL080C	Middle	Target	92.557
YIL101C	YKR058W	Middle	Target	78.026
YPR133C	YDR155C	Middle	Target	36.506
YNL236W	YOR321W	Middle	Target	45.978
YML007W	YIR017C	Middle	Target	28.074
YGL073W	YIL117C	Middle	Target	23.345
YOR110W	YFR049W	Middle	Target	67.525
YNL257C	YCR021C	Bottom	Target	109.642
YCR084C	YPL231W	Middle	Target	70.476
YBR081C	YPR154W	Top	Target	81.447
YOR344C	YIL082W	Bottom	Target	91.170
YNL216W	YCL040W	Middle	Target	97.617
YBR240C	YOL078W	Bottom	Target	95.399
YGL073W	YGR155W	Middle	Target	44.505
YPR086W	YOL155C	Middle	Target	104.052
YIR018W	YOR178C	Middle	Target	113.076
YER159C	YMR090W	Middle	Target	86.401
YLR403W	YOR071C	Middle	Target	161.093
YER111C	YNL320W	Middle	Target	71.138
YDR169C	YNL242W	Bottom	Target	89.848
YDL005C	YNR037C	Middle	Target	58.831
YLR403W	YCR072C	Middle	Target	125.423
YOR110W	YJL143W	Middle	Target	67.796
YML007W	YLR097C	Middle	Target	70.346
YDR423C	YML052W	Middle	Target	102.432
