id1	id2	reg	distance
YLR403W	YLR048W	+	118.474
YDR423C	YKL002W	-	129.335
YMR021C	YDL234C	-	66.365
YLR403W	YDR050C	?	156.673
YDR253C	YLR438W	bound	109.636
YIL101C	YGR055W	binding enriched	46.579
YLR071C	YLL050C	binding enriched	35.488
YDR397C	YHR161C	binding enriched	119.442
YDR310C	YPL130W	-	57.133
YPL254W	YHR141C	+	37.844
YPR104C	YPL250C	binding enriched	50.002
YLR403W	YDL031W	?	153.807
YOR110W	YFL034W	binding enriched	86.332
YOL148C	YPL238C	+	118.633
YIL101C	YCR079W	binding enriched	39.797
YLR403W	YDR141C	?	129.070
YDL170W	YMR067C	binding enriched	48.799
YBR049C	YGL106W	binding enriched	83.306
YGR252W	YOR322C	binding enriched	62.183
YLR403W	YDR139C	-	130.582
YKL032C	YPL227C	+	106.962
YBR112C	YER092W	binding enriched	68.362
YDL005C	YBR082C	binding enriched	72.250
YMR164C	YIL011W	?	109.069
YDR259C	YER093C	binding enriched	76.714
YLR176C	YBR217W	binding enriched	65.736
YDR259C	YLR005W	binding enriched	125.651
YNL216W	YDR036C	binding enriched	74.362
YLR403W	YGR094W	+	88.331
YDL005C	YFR050C	binding enriched	30.134
YNL103W	YML107C	?	84.520
YER159C	YAL061W	binding enriched	90.266
YPL248C	YML100W	+	41.715
YPR086W	YNL160W	binding enriched	82.820
YDL005C	YDL160C-A	binding enriched	97.093
YDR259C	YOL125W	binding enriched	77.493
YBR049C	YOR275C	binding enriched	115.893
YIL101C	YBR010W	binding enriched	50.238
YIL101C	YJR046W	binding enriched	59.318
YPR052C	YGR205W	binding enriched	77.016
YOL148C	YJR015W	+	57.353
YBR049C	YKL203C	binding enriched	92.724
YNL330C	YMR135C	binding enriched	93.027
YNL216W	YLR060W	binding enriched	75.787
YDL005C	YER092W	binding enriched	79.986
YDR423C	YNL308C	-	50.177
YNL216W	YOL158C	binding enriched	31.132
YIL131C	YOR179C	binding enriched	73.523
YMR037C	YBR068C	binding enriched	68.544
YDL005C	YER076C	binding enriched	92.183
YIL101C	YJR011C	binding enriched	64.497
YJL127C	YLR445W	?	138.594
YPL075W	YPR004C	+	62.021
YNL216W	YPL174C	-	75.328
YLR223C	YOR234C	bound	137.768
YGR252W	YFR044C	binding enriched	110.263
YDR259C	YIR002C	binding enriched	134.908
YER040W	YHL020C	binding enriched	67.333
YBR049C	YMR292W	binding enriched	63.461
YNL216W	YPR161C	binding enriched	71.818
YLR403W	YLR222C	?	29.565
YOL108C	YHR025W	binding enriched	88.486
YOR174W	YGR274C	binding enriched	84.495
YER040W	YOR032C	binding enriched	46.884
YBR049C	YFL016C	binding enriched	72.300
YDL005C	YIL113W	binding enriched	68.737
YLR071C	YOL119C	binding enriched	91.272
YGR252W	YCL026C-B	binding enriched	100.712
YKR099W	YJR148W	+	60.410
YIL101C	YIL148W	binding enriched	28.543
YIL131C	YER187W	binding enriched	43.592
YIL101C	YPL244C	binding enriched	70.173
YLR071C	YDR197W	binding enriched	120.317
YGR252W	YKL209C	binding enriched	78.946
YPL075W	YKL004W	+	72.914
YEL009C	YEL009C	?	0.000
YOL148C	YDL083C	+	81.084
YPL075W	YMR107W	-	26.980
YPL254W	YOR385W	+	82.816
YNL236W	YHR219W	+	137.583
YBR112C	YMR120C	binding enriched	60.597
YNL236W	YKL191W	+	44.379
YNL103W	YOL052C-A	?	55.737
YCL058W-A	YGR082W	binding enriched	56.163
YLR176C	YBR069C	binding enriched	93.490
YKL185W	YNR045W	binding enriched	93.724
YIL131C	YAR019C	binding enriched	85.378
YHR084W	YLR120C	+	70.729
YOR110W	YBR216C	binding enriched	108.078
YIL101C	YER074W-A	binding enriched	38.848
YDR443C	YML100W	-	70.587
YOR174W	YGL112C	binding enriched	81.435
YJL127C	YGL064C	?	50.369
YHR058C	YOR007C	binding enriched	83.288
YIL101C	YOR244W	binding enriched	73.339
YIR018W	YJR120W	?	66.386
YNL216W	YDR343C	binding enriched	78.513
YJL127C	YHR203C	+	87.269
YBR083W	YAR009C	+	100.530
YBR049C	YDR050C	binding enriched	65.705
YDR392W	YJR028W	+	120.339
YHL020C	YHR018C	-	10.856
YPR086W	YDL110C	binding enriched	39.657
YLR098C	YLR157W-E	binding enriched	73.357
YDR259C	YJL034W	binding enriched	109.981
YIL101C	YJR059W	binding enriched	55.722
YNL103W	YMR037C	?	99.046
YIL131C	YGR013W	binding enriched	51.578
YEL009C	YLR279W	?	167.781
YDR448W	YGL062W	binding enriched	96.240
YPL075W	YKL096W-A	+	75.332
YDR207C	YER064C	binding enriched	108.807
YGR252W	YBR070C	binding enriched	51.969
YLR451W	YER157W	binding enriched	92.631
YDR259C	YOR141C	+	65.732
YDR392W	YMR027W	binding enriched	101.686
YBR083W	YHR152W	+	20.240
YOR028C	YLR266C	binding enriched	168.561
YDR310C	YNL318C	-	75.566
YDR207C	YER056C	binding enriched	105.968
YGR252W	YDL080C	binding enriched	92.557
YIL101C	YKR058W	binding enriched	78.026
