FFL_num	FFL_XYZ	ave	reg	XY	XZ	YZ
000100110: 2 533 83	YLR048W YOR230W YPL075W	106.093333333	+|+|binding enriched	121.266	96.39	100.624
000100110: 2 533 49	YLR048W YOR230W YNL216W	69.1963333333	+|+|binding enriched	39.819	67.146	100.624
000100110: 2 533 25	YLR048W YOR230W YOL148C	75.844	+|+|binding enriched	51.366	75.542	100.624
000100110: 2 175 75	YLR048W YGL073W YIL131C	20.0453333333	binding enriched|binding enriched|+	15.988	24.091	20.057
000100110: 2 175 1	YLR048W YGL073W YLR403W	79.3513333333	?|+|+	99.523	118.474	20.057
000100110: 2 86 1	YLR048W YLR223C YLR403W	86.4783333333	+|+|bound	27.878	118.474	113.083
000100110: 2 83 1	YLR048W YPL075W YLR403W	119.482	?|+|+	143.582	118.474	96.39
000100110: 2 81 40	YLR048W YJL127C YDL005C	65.8506666667	binding enriched|binding enriched|+	82.494	73.207	41.851
000100110: 2 70 44	YLR048W YNL330C YDR259C	91.7066666667	binding enriched|binding enriched|binding enriched	63.684	119.231	92.205
000100110: 2 44 81	YLR048W YDR259C YJL127C	90.7196666667	?|+|binding enriched	111.077	41.851	119.231
000100110: 2 44 49	YLR048W YDR259C YNL216W	87.4023333333	binding enriched|+|binding enriched	75.83	67.146	119.231
000100110: 2 25 44	YLR048W YOL148C YDR259C	99.5363333333	binding enriched|binding enriched|+	103.836	119.231	75.542
000100110: 2 20 44	YLR048W YPR104C YDR259C	95.8043333333	binding enriched|binding enriched|binding enriched	65.067	119.231	103.115
000100110: 5 44 10	YMR021C YDR259C YIL101C	77.9223333333	binding enriched|binding enriched|binding enriched	88.913	54.087	90.767
000100110: 5 10 59	YMR021C YIL101C YPR086W	50.5516666667	binding enriched|binding enriched|binding enriched	61.746	35.822	54.087
000100110: 6 1023 173	YDL234C YER109C YML007W	77.2503333333	binding enriched|-|-	86.683	95.126	49.942
000100110: 6 1023 44	YDL234C YER109C YDR259C	57.662	binding enriched|binding enriched|-	80.137	42.907	49.942
000100110: 6 293 173	YDL234C YDL020C YML007W	63.4713333333	binding enriched|-|-	22.588	95.126	72.7
000100110: 6 5 44	YDL234C YMR021C YDR259C	66.6796666667	binding enriched|binding enriched|-	90.767	42.907	66.365
000100110: 7 478 49	YDR050C YNL068C YNL216W	74.9323333333	binding enriched|+|binding enriched	35.655	88.512	100.63
000100110: 7 478 18	YDR050C YNL068C YPL254W	85.7256666667	binding enriched|+|binding enriched	98.391	58.156	100.63
000100110: 7 339 40	YDR050C YNL199C YDL005C	72.9176666667	binding enriched|binding enriched|+	72.7	70.172	75.881
000100110: 7 339 33	YDR050C YNL199C YGR252W	83.5393333333	binding enriched|binding enriched|+	73.544	101.193	75.881
000100110: 7 287 33	YDR050C YGR104C YGR252W	78.3413333333	binding enriched|binding enriched|binding enriched	42.159	101.193	91.672
000100110: 7 277 173	YDR050C YIL036W YML007W	72.2053333333	binding enriched|binding enriched|+	51.32	68.8	96.496
000100110: 7 277 33	YDR050C YIL036W YGR252W	94.969	binding enriched|binding enriched|+	87.218	101.193	96.496
000100110: 7 180 277	YDR050C YCR084C YIL036W	66.9063333333	+|+|binding enriched	37.974	96.496	66.249
000100110: 7 180 83	YDR050C YCR084C YPL075W	46.8593333333	+|+|binding enriched	47.301	27.028	66.249
000100110: 7 180 49	YDR050C YCR084C YNL216W	79.6126666667	+|+|binding enriched	84.077	88.512	66.249
000100110: 7 175 1	YDR050C YGL073W YLR403W	119.71	?|?|+	99.523	156.673	102.934
