SIM	is_self	reg	dist_ave	dist_sd
YLR403W	T	+|?|?|+|?|?|-|+|?|?|?|?|+|?|+|-|-|-|-|+|?|?|?|-|?|?|?|?|?|?|?|-|-|-|?|-|?|?|?|-|?|+|+|?|-|+|-|?|-|-|?|+|+|?|?|+|-|-|?|-|+|-|-|?|?|-|?|?|-|?|?|-|?|?|-|-|?|?|?|-|-|?|?|?|-|-|-|-|?|-|-|?|?|-|?|?|?|?|-|-|-|+|?|-|?|?|?|?|?|-|-|-|?|+|?|-|?|-|?|-|?|-|?|-|?|?|+|-|+|?|?|?|-|+|-|?|?|-|-|?|-|?|-|?|?|-|?|-|?|?|?|+|?|+|?|?|?|?|?|-|?|?|?|?|?|-|+|-|?|?|?|?|?|+|?|?|?|-|	125.40008988764045	38.2571960055
YNL236W	F	+|-|+|+|+|-|-|+|+|+|	70.28439999999999	23.9414158831
YIL101C	T	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	57.79851923076922	23.6514544746
YML007W	F	binding enriched|binding enriched|binding enriched|binding enriched|-|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	90.01820000000001	23.5827787911
YDL170W	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	71.903	25.515794309
YDR123C	F	binding enriched|binding enriched|binding enriched|	74.83733333333333	44.9529208988
YDR463W	T	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	87.13413333333334	31.4951961742
YHL020C	F	-|-|	67.47200000000001	33.737478744
YDR146C	F	binding enriched|binding enriched|	15.2115	4.43992347907
YBR112C	T	binding enriched|binding enriched|binding enriched|binding enriched|	99.31	8.23587238852
YER111C	F	binding enriched|binding enriched|-|binding enriched|	63.136750000000006	28.0273610409
YIR018W	F	?|?|?|?|?|binding enriched|binding enriched|binding enriched|?|?|?|?|binding enriched|binding enriched|?|?|?|?|	83.85622222222223	36.9907596817
YKL185W	F	binding enriched|binding enriched|binding enriched|binding enriched|	112.00524999999999	36.0045424299
YPR133C	F	binding enriched|binding enriched|	107.0715	16.2443640842
YOL148C	F	+|+|	98.7485	8.64155197288
YDR207C	F	binding enriched|binding enriched|binding enriched|binding enriched|-|-|-|	91.85042857142857	30.161880102
YIL131C	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	61.57765217391304	18.9590315456
YDR310C	F	-|-|-|-|-|	94.97939999999998	24.0433615953
YDL106C	F	binding enriched|binding enriched|binding enriched|	64.606	43.4105557324
YDR423C	F	+|-|+|-|+|+|-|+|-|+|-|-|+|-|+|-|	84.43725	36.2494864506
YHR058C	F	binding enriched|binding enriched|binding enriched|binding enriched|	85.96575	20.3973655386
YBR279W	F	binding enriched|binding enriched|binding enriched|	82.82166666666667	32.5548770898
YLR418C	F	+|+|	154.191	1.15824090758
YLR071C	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	76.2046	24.0964069438
YPR104C	F	binding enriched|binding enriched|binding enriched|binding enriched|	74.224	32.2340653037
