id1	id2	reg	chr1	loc1	chr2	loc2
YLR403W	YLR048W	+	12	926593	12	242790
YDR423C	YKL002W	-	4	1318660	11	438161
YMR021C	YDL234C	-	13	317791	4	35357
YLR403W	YDR050C	?	12	926593	4	556099
YDR253C	YLR438W	bound	4	964277	12	1013138
YIL101C	YGR055W	binding enriched	9	176278	7	600279
YLR071C	YLL050C	binding enriched	12	277002	12	40109
YDR397C	YHR161C	binding enriched	4	1266632	8	421329
YDR310C	YPL130W	-	4	1082722	16	304722
YPL254W	YHR141C	+	16	70218	8	382370
YPR104C	YPL250C	binding enriched	16	735028	16	74514
YLR403W	YDL031W	?	12	926593	4	395710
YOR110W	YFL034W	binding enriched	15	529594	6	67087
YOL148C	YPL238C	+	15	46667	16	100668
YIL101C	YCR079W	binding enriched	9	176278	3	253509
YLR403W	YDR141C	?	12	926593	4	737449
YDL170W	YMR067C	binding enriched	4	157111	13	404948
YBR049C	YGL106W	binding enriched	2	335602	7	306784
YGR252W	YOR322C	binding enriched	7	997528	15	919834
YLR403W	YDR139C	-	12	926593	4	733771
YKL032C	YPL227C	+	11	380961	16	120665
YBR112C	YER092W	binding enriched	2	464320	5	343043
YDL005C	YBR082C	binding enriched	4	441661	2	406898
YMR164C	YIL011W	?	13	588412	9	334131
YDR259C	YER093C	binding enriched	4	975206	5	345466
YLR176C	YBR217W	binding enriched	12	509014	2	658112
YDR259C	YLR005W	binding enriched	4	975206	12	160741
YNL216W	YDR036C	binding enriched	14	242930	4	523962
YLR403W	YGR094W	+	12	926593	7	673843
YDL005C	YFR050C	binding enriched	4	441661	6	249466
YNL103W	YML107C	?	14	428744	13	55767
YER159C	YAL061W	binding enriched	5	491744	1	34074
YPL248C	YML100W	+	16	81033	13	72272
YPR086W	YNL160W	binding enriched	16	710619	14	337077
YDL005C	YDL160C-A	binding enriched	4	441661	4	169487
YDR259C	YOL125W	binding enriched	4	975206	15	84549
YBR049C	YOR275C	binding enriched	2	335602	15	840076
YIL101C	YBR010W	binding enriched	9	176278	2	256536
YIL101C	YJR046W	binding enriched	9	176278	10	522955
YPR052C	YGR205W	binding enriched	16	665833	7	909649
YOL148C	YJR015W	+	15	46667	10	463487
YBR049C	YKL203C	binding enriched	2	335602	11	59647
YNL330C	YMR135C	binding enriched	14	18651	13	539372
YNL216W	YLR060W	binding enriched	14	242930	12	261872
YDL005C	YER092W	binding enriched	4	441661	5	343043
YDR423C	YNL308C	-	4	1318660	14	55009
YNL216W	YOL158C	binding enriched	14	242930	15	20401
YIL131C	YOR179C	binding enriched	9	101508	15	672128
YMR037C	YBR068C	binding enriched	13	345460	2	374775
YDL005C	YER076C	binding enriched	4	441661	5	313044
YIL101C	YJR011C	binding enriched	9	176278	10	459033
YJL127C	YLR445W	?	10	183259	12	1024513
YPL075W	YPR004C	+	16	413808	16	564524
YNL216W	YPL174C	-	14	242930	16	221470
YLR223C	YOR234C	bound	12	583861	15	778980
YGR252W	YFR044C	binding enriched	7	997528	6	240714
YDR259C	YIR002C	binding enriched	4	975206	9	358905
YER040W	YHL020C	binding enriched	5	230891	8	66849
YBR049C	YMR292W	binding enriched	2	335602	13	855044
YNL216W	YPR161C	binding enriched	14	242930	16	865435
YLR403W	YLR222C	?	12	926593	12	580544
YOL108C	YHR025W	binding enriched	15	111658	8	159974
YOR174W	YGR274C	binding enriched	15	659174	7	1041495
YER040W	YOR032C	binding enriched	5	230891	15	390423
YBR049C	YFL016C	binding enriched	2	335602	6	105468
YDL005C	YIL113W	binding enriched	4	441661	9	150873
YLR071C	YOL119C	binding enriched	12	277002	15	95608
YGR252W	YCL026C-B	binding enriched	7	997528	3	73695
YKR099W	YJR148W	+	11	637068	10	706309
YIL101C	YIL148W	binding enriched	9	176278	9	69118
YIL131C	YER187W	binding enriched	9	101508	5	566442
YIL101C	YPL244C	binding enriched	9	176278	16	87523
YLR071C	YDR197W	binding enriched	12	277002	4	851812
YGR252W	YKL209C	binding enriched	7	997528	11	44359
YPL075W	YKL004W	+	16	413808	11	436182
YEL009C	YEL009C	?	5	139340	5	139340
YOL148C	YDL083C	+	15	46667	4	307357
YPL075W	YMR107W	-	16	413808	13	483187
YPL254W	YOR385W	+	16	70218	15	1065479
YNL236W	YHR219W	+	14	208392	8	561110
YBR112C	YMR120C	binding enriched	2	464320	13	508391
YNL236W	YKL191W	+	14	208392	11	81837
YNL103W	YOL052C-A	?	14	428744	15	231662
YCL058W-A	YGR082W	binding enriched	3	23754	7	644319
YLR176C	YBR069C	binding enriched	12	509014	2	377503
YKL185W	YNR045W	binding enriched	11	95382	14	706873
YIL131C	YAR019C	binding enriched	9	101508	1	173673
YHR084W	YLR120C	+	8	275207	12	387365
YOR110W	YBR216C	binding enriched	15	529594	2	656588
YIL101C	YER074W-A	binding enriched	9	176278	5	307888
YDR443C	YML100W	-	4	1347807	13	72272
YOR174W	YGL112C	binding enriched	15	659174	7	298953
YJL127C	YGL064C	?	10	183259	7	382365
YHR058C	YOR007C	binding enriched	8	219440	15	339458
YIL101C	YOR244W	binding enriched	9	176278	15	793199
YIR018W	YJR120W	?	9	384977	10	647301
YNL216W	YDR343C	binding enriched	14	242930	4	1160464
