id	x	y	z
YLR268W	94.105	116.476	194.072
YOR011W	101.868	77.874	22.309
YMR323W	126.084	52.832	129.849
YPR023C	145.137	75.94	41.739
YAL008W	112.331	105.821	11.693
YNR028W	70.172	100.283	30.541
YBR255W	121.547	91.92	135.968
YBR128C	149.702	96.095	120.366
YDL214C	108.151	35.21	92.162
YNL300W	65.173	29.912	96.171
YIL034C	104.097	125.955	58.181
YCRX11W	141.305	115.392	88.2
YJR122W	88.552	68.382	69.508
YGR164W	114.07	110.159	138.325
YGR131W	102.984	91.091	115.907
YNL103W	54.053	66.295	84.06
YNL003C	102.266	108.885	19.0
YBR135W	148.792	98.251	124.965
YBR160W	130.201	83.611	125.867
YJL082W	62.825	73.576	57.866
YIL044C	102.667	121.994	67.204
YLR197W	100.639	124.867	186.256
YJL142C	49.122	81.647	83.667
YPL191C	132.029	55.464	108.075
YDR297W	128.753	16.179	119.506
YJR090C	81.651	62.927	60.562
YGL215W	79.168	84.572	124.04
YDR312W	138.635	16.947	134.917
YLR348C	110.27	101.377	197.858
YBR248C	123.89	99.597	139.178
YLR467C-A	91.784	92.9	197.707
YNR067C	57.076	97.354	50.163
YNL152W	60.019	54.635	85.125
YJL077C	61.424	74.217	54.453
YKL096W-A	107.03	34.788	49.796
YFL045C	114.303	81.557	47.515
YFL010C	116.929	97.567	26.057
YDR141C	130.39	29.889	97.321
YJL131C	59.382	80.096	78.253
YBR117C	143.932	94.845	116.826
YIL124W	100.819	93.763	92.32
YLR364C-A	108.124	102.324	198.468
YIL171W	69.325	117.281	84.593
YPL039W	158.234	84.992	46.842
YNL170W	80.699	57.556	91.747
YGL141W	64.999	93.564	111.94
YDR083W	131.097	38.193	80.371
YOR123C	85.763	16.676	62.126
YIR013C	114.182	114.112	27.892
YPL071C	162.143	76.034	79.026
YKL183W	106.069	17.37	61.863
YDR316W-A	136.744	17.914	134.621
YDR316W-B	135.577	18.393	133.977
YKL083W	109.202	37.383	46.287
YPL024W	148.672	82.016	32.62
YKL134C	102.662	32.836	63.989
YOR009W	102.851	84.088	21.482
YKL029C	125.684	59.863	22.998
YPL166W	129.545	63.82	100.274
YKL052C	117.69	46.027	41.921
YBR273C	119.796	96.985	146.276
YHR025W	140.633	95.959	56.613
YOR313C	63.502	33.726	114.804
YAL026C	108.486	87.243	24.425
YOL034W	95.272	55.603	37.294
YFL017W-A	119.265	97.114	27.708
YAR060C	70.321	102.196	6.294
YBL008W	125.859	111.734	39.715
YGL237C	70.974	81.005	133.3
YMR045C	144.764	52.239	60.76
YIL062C	96.212	124.523	84.122
YCL023C	121.277	116.726	41.19
YAR035W	85.693	114.224	2.444
tC(GCA)P1	166.747	82.295	76.602
tC(GCA)P2	159.932	43.458	63.85
YOL156W	45.463	60.47	60.288
YOL129W	64.573	49.317	75.028
YDR299W	129.685	16.751	120.634
YOL116W	70.485	39.261	69.55
YBR182C	128.732	87.957	126.669
YDR196C	142.738	16.868	105.834
YER023W	84.916	103.918	52.19
YBR280C	125.828	91.015	148.849
YNR032W	69.431	94.137	34.728
YNR045W	57.051	94.062	36.905
YML105C	140.139	64.88	82.557
YNL288W	65.029	37.765	100.744
YIL091C	105.4	85.914	82.054
tI(AAU)P1	153.421	35.479	61.876
YPL104W	162.041	65.534	96.317
YIL059C	96.121	126.185	82.725
YLR253W	86.615	120.56	186.816
YIL004C	114.479	108.87	22.575
YNR018W	79.199	103.917	30.405
YPL144W	132.497	62.076	107.081
YMR251W-A	141.112	54.045	131.287
YFR047C	115.217	69.351	27.01
YBR215W	123.03	96.622	136.822
YIL106W	95.164	97.978	80.35
YML127W	122.663	66.357	82.89
YHR078W	142.223	88.27	86.879
YGR084C	103.839	118.333	109.153
YIR023C-A	99.785	118.94	34.942
YJR115W	82.158	65.87	68.642
YCR002C	130.479	121.177	29.167
YLR355C	113.017	102.393	196.663
YGL157W	68.709	92.036	114.642
YGR099W	117.776	118.916	117.663
YJR093C	84.324	66.193	62.127
YPR145C-A	152.671	31.433	61.94
YLR300W	98.19	105.358	199.2
YCL028W	121.628	114.449	45.052
YJR140C	82.391	54.683	67.433
YGR146C	104.609	105.172	128.593
YOR033C	95.492	58.978	43.598
YOR062C	84.969	39.983	48.555
YAR035C-A	84.384	114.446	2.505
YDL114W	123.845	21.227	67.53
YBR043C	152.962	110.979	87.856
YNL237W	68.475	44.695	73.564
YHR112C	157.11	84.881	91.387
YDL238C	97.061	34.397	88.277
YLL066W-A	94.545	116.61	69.624
YLL066W-B	94.211	117.364	69.31
YLR011W	95.979	102.159	36.657
YJL195C	40.922	47.632	85.862
YHR007C	130.353	103.741	38.484
YHR126C	153.366	95.078	96.996
YDL073W	140.625	38.319	64.619
YDL004W	123.817	94.128	28.567
YER121W	76.206	88.242	115.253
YCR046C	135.449	106.755	80.737
YLR059C	92.189	122.165	80.38
YDR059C	157.025	39.268	71.375
YDR379C-A	112.97	19.014	131.95
YOR240W	65.299	29.364	103.388
tD(GUC)G1	112.139	130.391	58.969
tD(GUC)G2	110.253	136.547	68.588
YEL007W	99.886	115.907	28.019
YGR260W	89.897	92.262	137.495
YKL204W	105.586	29.537	79.428
YGR291C	85.472	103.87	150.455
YDR040C	154.067	61.914	59.962
YPL248C	147.777	65.734	119.018
tM(CAU)C	138.405	116.017	51.595
YMR233W	148.092	55.921	129.927
YDR320C-A	129.811	21.256	128.966
YDR393W	105.137	8.651	125.678
YGL171W	77.944	85.838	119.642
YPR194C	157.33	35.305	81.102
YGR019W	112.828	126.807	55.568
YMR194W	157.868	52.77	116.848
YLL011W	107.578	109.165	31.775
YNL080C	53.657	89.162	80.821
YBL033C	127.173	116.155	74.603
YDR022C	122.228	73.53	55.07
YPL266W	145.016	72.132	118.879
tM(CAU)D	119.968	13.565	129.228
YGR051C	108.551	133.263	94.315
tE(UUC)G3	110.678	135.775	66.522
tE(UUC)G2	79.806	116.749	85.249
YJL188C	40.449	45.002	81.29
YMR254C	141.655	53.459	133.679
YLL057C	101.53	101.404	65.792
