id	pdbindex
YLR268W	15645
YOR011W	23198
YMR323W	20948
YPR023C	25882
YAL008W	269
YNR028W	22297
YBR255W	1896
YBR128C	1432
YDL214C	2815
YNL300W	21076
YIL034C	11233
YCRX11W	2523
YJR122W	12805
YGR164W	9032
YGR131W	8884
YNL103W	21801
YNL003C	22195
YBR135W	1455
YBR160W	1566
YJL082W	12069
YIL044C	11201
YLR197W	15378
YJL142C	11800
YPL191C	25031
YDR297W	4778
YJR090C	12689
YGL215W	7551
YDR312W	4841
YLR348C	15939
YBR248C	1876
YLR467C-A	16439
YNR067C	22459
YNL152W	21638
YJL077C	12094
YKL096W-A	13493
YFL045C	6932
YFL010C	7075
YDR141C	4139
YJL131C	11834
YBR117C	1396
YIL124W	10907
YLR364C-A	15995
YIL171W	10693
YPL039W	25622
YNL170W	21576
YGL141W	7853
YDR083W	3889
YOR123C	23602
YIR013C	11414
YPL071C	25504
YKL183W	13172
YDR316W-A	4857
YDR316W-B	4861
YKL083W	13536
YPL024W	25671
YKL134C	13355
YOR009W	23184
YKL029C	13741
YPL166W	25138
YKL052C	13654
YBR273C	1942
YHR025W	9864
YOR313C	24299
YAL026C	190
YOL034W	23017
YFL017W-A	7052
YAR060C	430
YBL008W	867
YGL237C	7480
YMR045C	19834
YIL062C	11142
YCL023C	2212
YAR035W	377
tC(GCA)P1	25535
tC(GCA)P2	26215
YOL156W	22546
YOL129W	22650
YDR299W	4785
YOL116W	22695
YBR182C	1633
YDR196C	4365
YER023W	6117
YBR280C	1972
YNR032W	22317
YNR045W	22358
YML105C	19231
YNL288W	21126
YIL091C	11038
tI(AAU)P1	26302
YPL104W	25376
YIL059C	11147
YLR253W	15571
YIL004C	11350
YNR018W	22273
YPL144W	25224
YMR251W-A	20664
YFR047C	7333
YBR215W	1754
YIL106W	10988
YML127W	19150
YHR078W	10058
YGR084C	8669
YIR023C-A	11459
YJR115W	12784
YCR002C	2290
YLR355C	15961
YGL157W	7793
YGR099W	8752
YJR093C	12711
YPR145C-A	26313
YLR300W	15743
YCL028W	2196
